Main_Feature,Province,Sub_Feature,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,2022,Sơ bộ 2022
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",TỔNG SỐ,Số người chết,,,,,,,,,,,,,,,,,,,,,,11.457,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đồng bằng sông Hồng,Số người chết,,,,,,,,,,,,,,,,,,,,,,1.862,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hà Nội,Số người chết,,,,,,,,,,,,,,,,,,,,,,812,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Vĩnh Phúc,Số người chết,,,,,,,,,,,,,,,,,,,,,,40,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bắc Ninh,Số người chết,,,,,,,,,,,,,,,,,,,,,,84,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Quảng Ninh,Số người chết,,,,,,,,,,,,,,,,,,,,,,92,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hải Dương,Số người chết,,,,,,,,,,,,,,,,,,,,,,157,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hải Phòng,Số người chết,,,,,,,,,,,,,,,,,,,,,,65,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hưng Yên,Số người chết,,,,,,,,,,,,,,,,,,,,,,148,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Thái Bình,Số người chết,,,,,,,,,,,,,,,,,,,,,,132,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hà Nam,Số người chết,,,,,,,,,,,,,,,,,,,,,,120,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Nam Định,Số người chết,,,,,,,,,,,,,,,,,,,,,,107,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Ninh Bình,Số người chết,,,,,,,,,,,,,,,,,,,,,,105,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Trung du và miền núi phía Bắc,Số người chết,,,,,,,,,,,,,,,,,,,,,,1.138,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hà Giang,Số người chết,,,,,,,,,,,,,,,,,,,,,,20,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Cao Bằng,Số người chết,,,,,,,,,,,,,,,,,,,,,,74,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bắc Kạn,Số người chết,,,,,,,,,,,,,,,,,,,,,,41,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Tuyên Quang,Số người chết,,,,,,,,,,,,,,,,,,,,,,97,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Lào Cai,Số người chết,,,,,,,,,,,,,,,,,,,,,,66,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Yên Bái,Số người chết,,,,,,,,,,,,,,,,,,,,,,118,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Thái Nguyên,Số người chết,,,,,,,,,,,,,,,,,,,,,,136,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Lạng Sơn,Số người chết,,,,,,,,,,,,,,,,,,,,,,55,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bắc Giang,Số người chết,,,,,,,,,,,,,,,,,,,,,,267,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Phú Thọ,Số người chết,,,,,,,,,,,,,,,,,,,,,,57,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Điện Biên,Số người chết,,,,,,,,,,,,,,,,,,,,,,25,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Lai Châu,Số người chết,,,,,,,,,,,,,,,,,,,,,,47,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Sơn La,Số người chết,,,,,,,,,,,,,,,,,,,,,,35,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hòa Bình,Số người chết,,,,,,,,,,,,,,,,,,,,,,100,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bắc Trung Bộ và Duyên hải miền Trung,Số người chết,,,,,,,,,,,,,,,,,,,,,,2.521,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Thanh Hóa,Số người chết,,,,,,,,,,,,,,,,,,,,,,316,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Nghệ An,Số người chết,,,,,,,,,,,,,,,,,,,,,,159,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hà Tĩnh,Số người chết,,,,,,,,,,,,,,,,,,,,,,109,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Quảng Bình,Số người chết,,,,,,,,,,,,,,,,,,,,,,117,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Quảng Trị,Số người chết,,,,,,,,,,,,,,,,,,,,,,194,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Thừa Thiên-Huế,Số người chết,,,,,,,,,,,,,,,,,,,,,,433,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đà Nẵng,Số người chết,,,,,,,,,,,,,,,,,,,,,,82,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Quảng Nam,Số người chết,,,,,,,,,,,,,,,,,,,,,,156,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Quảng Ngãi,Số người chết,,,,,,,,,,,,,,,,,,,,,,184,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bình Định,Số người chết,,,,,,,,,,,,,,,,,,,,,,130,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Phú Yên,Số người chết,,,,,,,,,,,,,,,,,,,,,,133,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Khánh Hòa,Số người chết,,,,,,,,,,,,,,,,,,,,,,112,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Ninh Thuận,Số người chết,,,,,,,,,,,,,,,,,,,,,,146,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bình Thuận,Số người chết,,,,,,,,,,,,,,,,,,,,,,250,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Tây Nguyên,Số người chết,,,,,,,,,,,,,,,,,,,,,,784,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Kon Tum,Số người chết,,,,,,,,,,,,,,,,,,,,,,65,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Gia Lai,Số người chết,,,,,,,,,,,,,,,,,,,,,,337,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đắk Lắk,Số người chết,,,,,,,,,,,,,,,,,,,,,,204,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đắk Nông,Số người chết,,,,,,,,,,,,,,,,,,,,,,60,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Lâm Đồng,Số người chết,,,,,,,,,,,,,,,,,,,,,,118,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đông Nam Bộ,Số người chết,,,,,,,,,,,,,,,,,,,,,,3.587,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bình Phước,Số người chết,,,,,,,,,,,,,,,,,,,,,,166,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Tây Ninh,Số người chết,,,,,,,,,,,,,,,,,,,,,,76,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bình Dương,Số người chết,,,,,,,,,,,,,,,,,,,,,,602,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đồng Nai,Số người chết,,,,,,,,,,,,,,,,,,,,,,231,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bà Rịa - Vũng Tàu,Số người chết,,,,,,,,,,,,,,,,,,,,,,496,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",TP. Hồ Chí Minh,Số người chết,,,,,,,,,,,,,,,,,,,,,,2.016,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đồng bằng sông Cửu Long,Số người chết,,,,,,,,,,,,,,,,,,,,,,1.558,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Long An,Số người chết,,,,,,,,,,,,,,,,,,,,,,132,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Tiền Giang,Số người chết,,,,,,,,,,,,,,,,,,,,,,387,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bến Tre,Số người chết,,,,,,,,,,,,,,,,,,,,,,158,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Trà Vinh,Số người chết,,,,,,,,,,,,,,,,,,,,,,40,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Vĩnh Long,Số người chết,,,,,,,,,,,,,,,,,,,,,,146,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đồng Tháp,Số người chết,,,,,,,,,,,,,,,,,,,,,,84,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",An Giang,Số người chết,,,,,,,,,,,,,,,,,,,,,,67,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Kiên Giang,Số người chết,,,,,,,,,,,,,,,,,,,,,,114,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Cần Thơ,Số người chết,,,,,,,,,,,,,,,,,,,,,,78,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hậu Giang,Số người chết,,,,,,,,,,,,,,,,,,,,,,63,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Sóc Trăng,Số người chết,,,,,,,,,,,,,,,,,,,,,,218,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bạc Liêu,Số người chết,,,,,,,,,,,,,,,,,,,,,,35,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Cà Mau,Số người chết,,,,,,,,,,,,,,,,,,,,,,36,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Khác,Số người chết,,,,,,,,,,,,,,,,,,,,,,7,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",TỔNG SỐ,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,6.397,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đồng bằng sông Hồng,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,1.04,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hà Nội,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,408,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Vĩnh Phúc,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,30,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bắc Ninh,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,62,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Quảng Ninh,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,51,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hải Dương,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,127,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hải Phòng,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,51,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hưng Yên,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,108,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Thái Bình,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,60,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hà Nam,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,63,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Nam Định,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,45,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Ninh Bình,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,35,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Trung du và miền núi phía Bắc,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,595,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hà Giang,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,19,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Cao Bằng,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,38,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bắc Kạn,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,19,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Tuyên Quang,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,36,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Lào Cai,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,33,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Yên Bái,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,46,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Thái Nguyên,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,39,
