Main_Feature,Province,Sub_Feature,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,2022,Sơ bộ 2022
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",CẢ NƯỚC,Tỷ suất xuất cư,,,,5,,7.5,6,8.7,9.7,10.4,7.2,8.8,9.2,5.5,4.6,3.7,..,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Đồng bằng sông Hồng,Tỷ suất xuất cư,,,,3.1,,3.9,3.1,3.7,3,3.6,2.5,3.9,3.6,1.8,1.2,1.3,1.4,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hà Nội,Tỷ suất xuất cư,,,,5.2,,10.5,6.8,3.2,4.9,6.4,3.3,7.4,7.8,4.1,2.6,3.3,2.6,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hà Tây,Tỷ suất xuất cư,,,,4.3,,7.1,..,..,..,..,..,..,..,..,..,..,..,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Vĩnh Phúc,Tỷ suất xuất cư,,,,3.8,,6.3,7.2,10.2,7.2,16,4,6.8,4.5,4.3,2.4,1.4,1.2,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bắc Ninh,Tỷ suất xuất cư,,,,7.7,,7.3,8.3,8.9,7.6,6.5,5.5,6.1,5.4,3.2,3.6,4.2,2,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Quảng Ninh,Tỷ suất xuất cư,,,,5.3,,8.5,6.6,4.9,5.4,5.5,4.8,10.4,7.8,3.6,2.2,1.7,3.2,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hải Dương,Tỷ suất xuất cư,,,,7.3,,5.9,5.3,8.6,7.2,5.5,4.8,8.5,5.6,2.4,2.6,2.1,1.5,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hải Phòng,Tỷ suất xuất cư,,,,2.9,,2.7,2.1,3.8,3.8,5,2.1,4,3.4,1.4,1.8,0.8,1.6,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hưng Yên,Tỷ suất xuất cư,,,,5.8,,4.9,5.1,9.4,6.7,6.1,9.6,6.5,5.2,4.6,3.1,1.6,1.8,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Thái Bình,Tỷ suất xuất cư,,,,6.7,,14.2,5.9,13,11.1,9.4,9.1,8.6,8.6,4.7,2.9,2.5,3.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hà Nam,Tỷ suất xuất cư,,,,8,,11.6,5.3,13.1,8.7,10.5,5.6,6.2,8.7,5.9,4.8,6,5.6,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Nam Định,Tỷ suất xuất cư,,,,6.8,,7.1,8.3,12.9,8.4,7.4,7.8,8.4,8.3,3.7,3.9,3,5.7,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Ninh Bình,Tỷ suất xuất cư,,,,6.2,,9.1,6.2,12.5,9.2,8.5,6.4,11.1,7.5,4.5,2.6,3,5.5,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Trung du và miền núi phía Bắc,Tỷ suất xuất cư,,,,2.3,,3.7,2.8,5.4,6.2,6.1,4.2,5,4.3,3,3.3,1.8,2.8,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hà Giang,Tỷ suất xuất cư,,,,0.9,,2.2,2.1,3.1,19,3.6,1.7,2.6,2.1,2.7,2.7,1.8,3.4,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Cao Bằng,Tỷ suất xuất cư,,,,4,,7.0,1.5,6.5,9.6,10.1,15.6,8.6,8.2,4,4.2,4.8,3.6,,,,,,
