Main_Feature,Province,Sub_Feature,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,2022,Sơ bộ 2022
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,CẢ NƯỚC,,,,,17.8,,16.0,15,16,15.8,15.5,15.4,15.3,14.9,14.7,14.5,14.4,14.2,14,13.9,13.65,,,12.09
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Đồng bằng sông Hồng,,,,,11.5,,10.0,11,12.4,12.3,12.5,12.3,12.2,11.8,11.7,11.5,11.3,11.2,11,10.96,10.25,,,9.27
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hà Nội,,,,,7.9,,7.5,7,10.7,10.4,10.8,10.5,10.5,10.2,10.2,10,9.8,9.8,9.6,9.1,9.22,,,8.48
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hà Tây,,,,,20.6,,13.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Vĩnh Phúc,,,,,15.0,,14.8,12,12.9,12.6,13.1,13.7,13.6,13.1,12.9,12.7,12.5,12.4,12.2,12.95,12.1,,,11.02
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bắc Ninh,,,,,16.8,,14.8,15,13.2,12.9,13.4,13.7,13.5,13.1,12.8,12.6,12.4,12.3,12.2,12.83,12.33,,,11.16
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Quảng Ninh,,,,,17.6,,17.3,18,16.1,15.8,16.4,16,15.9,15.3,15.1,14.8,14.6,14.5,14.3,14.4,14.25,,,13.19
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hải Dương,,,,,11.4,,12.0,12,12.9,12.2,12.7,12.3,12.3,11.9,11.7,11.5,11.3,11.3,11.1,10.99,10.97,,,10.75
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hải Phòng,,,,,12.1,,9.5,11,11.8,11.5,12.3,12.7,12.6,12.2,12,11.8,11.6,11.5,11.4,11.66,11.35,,,11.26
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hưng Yên,,,,,15.4,,13.0,15,13.2,12.9,13.4,13,12.9,12.4,12.2,12,11.8,11.8,11.6,11.3,11.39,,,11.11
