Main_Feature,Province,Sub_Feature,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,2022,Sơ bộ 2022
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",CẢ NƯỚC,Tỷ suất sinh thô,..,..,..,18.6,,16.9,16.7,17.6,17.1,16.6,16.9,17,17.2,16.2,16,14.9,14.6,16.3,16.3,15.7,15.2,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Đồng bằng sông Hồng,Tỷ suất sinh thô,..,..,..,17.2,,16.2,16.1,17.6,16.7,16.6,16.5,16.2,18.1,16.2,16.1,14.7,14.9,17.9,17.2,17.3,15.2,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Hà Nội,Tỷ suất sinh thô,..,..,..,16.3,,16.5,16.9,19.2,18.8,18.6,17.1,16.5,18.9,16.3,16.6,15.1,14.7,19.1,17.9,17.4,16.4,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Hà Tây,Tỷ suất sinh thô,..,..,..,18.2,,16.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Vĩnh Phúc,Tỷ suất sinh thô,..,..,..,18.7,,17.5,17.9,19,18.8,17.7,18.7,18,20.3,17.7,19.2,17.5,17.5,17.2,17.46,16.8,15.4,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Bắc Ninh,Tỷ suất sinh thô,..,..,..,19.5,,18.1,17.6,19.7,18.1,18.2,22.8,19.2,22.3,22.1,20.9,20.4,19.8,24.8,23.03,23.4,21.1,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Quảng Ninh,Tỷ suất sinh thô,..,..,..,17.6,,16.4,16.9,18.3,15.9,16.2,18.4,17.2,18.8,15.4,14.4,15.5,15.2,16.2,15.91,14.4,15.8,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Hải Dương,Tỷ suất sinh thô,..,..,..,17.1,,14.8,15.1,16.2,15.2,15.5,16.2,15.3,16,14.5,16.1,13.1,16.9,17.4,18.8,16.7,13.1,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Hải Phòng,Tỷ suất sinh thô,..,..,..,16.4,,14.4,14.8,18.1,16.6,16.5,18.8,16.1,18.4,15.2,15.4,14,13.5,15.9,14.79,17.9,16.3,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Hưng Yên,Tỷ suất sinh thô,..,..,..,17.9,,15.6,16.9,16.9,16.1,16.2,15.7,17.7,17.2,16.8,16.5,13.9,15,17.1,17.54,16.7,17.4,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Thái Bình,Tỷ suất sinh thô,..,..,..,16.3,,14.9,14.2,14.7,13.8,13.6,11.2,12.6,12.6,13.3,13.1,12,11.4,15.2,13.82,14.6,12.7,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Hà Nam,Tỷ suất sinh thô,..,..,..,16.5,,13.9,13.5,14.9,14.8,14.9,12.8,13.4,15,15.2,14.3,12.2,14.5,16.1,16.58,14.8,15.5,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Nam Định,Tỷ suất sinh thô,..,..,..,17.3,,17,15.5,16.3,15.6,15.5,12.5,16.4,18.9,16.6,13.7,13.7,14,16.5,15.94,15.3,13.8,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Ninh Bình,Tỷ suất sinh thô,..,..,..,17.3,,15.5,15.9,15.4,13.4,13.1,17.9,15.5,20.5,17.7,18.7,13.4,14.5,16.9,16.4,15.3,13.9,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Trung du và miền núi phía Bắc,Tỷ suất sinh thô,..,..,..,19.9,,18.6,19.1,19.6,19.3,19.1,19.5,18,21.1,20.9,20.1,18.6,17.6,17.5,17.74,17,16.5,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Hà Giang,Tỷ suất sinh thô,..,..,..,25.3,,23.6,24.1,26.3,27,22.8,23.8,22.6,20.7,23.7,19.5,19.3,20.3,18.3,19.71,19,20.4,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Cao Bằng,Tỷ suất sinh thô,..,..,..,20,,18.3,17.8,18.1,17.5,17.6,17.9,17,20.5,19.3,19.1,16.8,17.8,16.7,16.16,16.4,16.2,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Bắc Kạn,Tỷ suất sinh thô,..,..,..,19,,18,17.1,16,16,16.1,18.5,17,17,18.7,18,16.3,15,13.7,14.69,13.8,13.4,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Tuyên Quang,Tỷ suất sinh thô,..,..,..,18.7,,17.4,17.1,18,17,17.1,18.4,18.6,22.2,20.5,20.3,18.6,16.3,16.3,17.12,14.6,14.2,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Lào Cai,Tỷ suất sinh thô,..,..,..,24.2,,21.7,22.6,23.8,24.4,22.6,21.2,21.9,20,18.6,22.5,18.2,19,18.8,19.35,18.8,18.7,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Yên Bái,Tỷ suất sinh thô,..,..,..,20.7,,18.5,20.1,20.5,19.9,19.4,20.4,17.7,22,20.9,21.6,19.6,19.5,18.8,19.4,19.1,16.2,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Thái Nguyên,Tỷ suất sinh thô,..,..,..,17.4,,17,16.7,16.8,16.7,17.2,18,17.1,20,19,18.7,16,14,17.6,15.82,14.7,14.9,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Lạng Sơn,Tỷ suất sinh thô,..,..,..,18.6,,17.4,17.3,16,15.8,15.9,17.8,15.3,18.7,18.8,18.1,16.6,15.8,14.1,15.2,15.3,13.7,,..
"Tỷ suất sinh thô, tỷ suất chết thô và tỷ lệ tăng tự nhiên của dân số",Bắc Giang,Tỷ suất sinh thô,..,..,..,19.1,,17.1,17.9,16.2,14.9,15.8,16.8,13.8,21,21.2,20,19.8,17.8,17.2,17.7,17.6,17.5,,..
